K10plus-PPN	Hebis-PPN	Umgelenkte Hebis-PPN 1	Umgelenkte Hebis-PPN 2
010018115	027313050		
010018662	00574301X		
010042660	014155974		
010043462	005612632		
010046089	009415017		
010125825	459913077		
010126260	004680243		
010127364	095024425		
010127895	005319552		
010129812	45987991X		
010134514	459746618		
010134662	059583673		
010135731	459917889		
01013638X	183702018		
010136444	459917897		
01013798X	007786352		
010140840	005805066		
010179577	007366019		
010243453	232132534		
010272690	459871854		
010272925	459917293		
010274340	031078362		
010274758	004000536		
010334521	010040269		
010395180	080032842		
010401776	009570217		
010410163	007278446		
010421955	030240743		
01045358X	010243216		
010453652	008804818		
010456937	027221261		
010468188	008338701		
010469966	45972780X		
010469982	005298164		
010470018	009004270		
010470182	459783629		
010472053	010112421		
010472118	006678157		
010472169	459917900		
010472673	459830287		
010472703	459836293		
010473521	010145192		
010477632	026783037		
010551166	459898469		
010551174	214514471		
010552049	079600689		
010563830	033281882		
010590773	011064110		
010591745	011085428		
010591826	011756896		
01061799X	012609463		
010669256	018855075		
010698892	116517360		
010725555	459674137		
010753699	080115551		
010753796	459628593		
010830898	400737752		
010855955	030237483		
010860932	026559439		
010862188	079606849		
010863729	03052718X		
010864806	031370691		
010877452	079684742		
010901450	018508510		
010935584	134080602		
010935738	027778207		
010936254	079731171		
010936289	02381926X		
010955224	187383812		
010955380	079546641		
010959386	080235069		
010959408	048728543		
01097587X	025046861		
010987754	030341884		
01099078X	032566530		
010995374	055393845		
010995382	030036186		
010999175	030059305		
011008539	079435696		
011027916	079815359		
011029447	033341931		
011029714	032456875		
011033509	079851762		
011045906	03303592X		
01105056X	02028585X		
011061456	023679476		
011063726	079991491		
011070633	288768264		
011087277	060862025		
011096403	051514796		
011101555	07989321X		
011102632	079852173		
011121068	080202373		
01112749X	045955220		
011131373	040118185		
01113545X	080184308		
011139439	04666176X		
01113965X	029333245		
011139722	030066166		
01114579X	079598056		
011164662	080159168		
011167440	030528216		
011167521	028055802		
011189894	080096468		
011194790	023438037		
01119703X	080132804		
011217448	079744435		
011217480	029989450		
011222824	017739551		
011230843	07959395X		
011251697	053641167		
01125209X	080132820		
011253932	061440647		
011263113	080222552		
011281227	061426431		
011288515	035635169		
011301570	058814930		
01130555X	059192968		
011305711	052430553		
011305800	079879438		
011305835	079490980		
01130586X	079681751		
011313269	033894574		
011313544	079914241		
011320893	079765645		
011330562	01904173X		
011371404	08045173X		
011375353	026544733		
011375914	079841759		
011377097	027364593		
011377119	053681924		
011523530	019065825		
011536470	459741853		
011619937	026114704		
011681845	005960460		
011706465	00789077X		
011781645	010772812		
011787732	011218665		
011790512	459897039		
011793090	014065924		
011799072	013982885		
011807423	013276964		
011807431	014087960		
011808608	011768118		
011811501	098613553		
011827823	020319533		
011843128	014139618		
011846992	01448997X		
011851112	011392975		
01185992X	013599062		
011868090	013769758		
011881372	016240960		
011892145	014067145		
011921269	025369652		
011921943	017805759		
011924969	01770166X		
011936223	019353715		
011946180	459758306		
011965061	076480909		
011965282	049219030		
011981229	049596268		
011982616	459738216		
01200748X	023282932		
012020109	004178904		
012088986	00474893X		
01212110X	00426066X		
012153990	080300111		
012157678	055557449		
012157686	055557473		
012167460	080007252		
012174777	459738801		
012205656	021465193		
