k10plus-PPN	hebis-PPN	k10plus-EPN	hebis-EPN	206X
010018115	027313050	600420059X	1083419250	HEB1083419250
010018662	00574301X	6004471151	1082903310	HEB1082903310
010042660	014155974	6004137081	1082822310	HEB1082822310
010043462	005612632	6004465925	1082825875	HEB1082825875
010043462	005612632	6004465933	1082825883	HEB1082825883
010046089	009415017	6004518786	1082840831	HEB1082840831
010125825	459913077	6004368768	108311512X	HEB108311512X
010126260	004680243	6004413356	108341917X	HEB108341917X
010127364	095024425	6004519944	1083109324	HEB1083109324
010127895	005319552	600445513X	1082820954	HEB1082820954
010127895	005319552	6004455148	1082820962	HEB1082820962
010127895	005319552	6004455156	1082820970	HEB1082820970
010129812	45987991X	6004353094	1083077287	HEB1083077287
010134514	459746618	6004563358	1082912905	HEB1082912905
010134514	459746618	6004563366	1082912913	HEB1082912913
010134662	059583673	6004477206	1082976466	HEB1082976466
010135731	459917889	6004370878	1083120271	HEB1083120271
01013638X	183702018	6004151513	1082956953	HEB1082956953
010136444	459917897	6004370886	108312028X	HEB108312028X
01013798X	007786352	6004496057	1082824682	HEB1082824682
010140840	005805066	6004472468	1082852619	HEB1082852619
010140840	005805066	6004472476	1082852627	HEB1082852627
010179577	007366019	6004490172	1082783803	HEB1082783803
010243453	232132534	6004188646	1082872105	HEB1082872105
010272690	459871854	6004347833	1083067591	HEB1083067591
010272690	459871854	6004347841	1083067605	HEB1083067605
010272925	459917293	6004370568	108311963X	HEB108311963X
010274340	031078362	6004216909	1083093908	HEB1083093908
010274758	004000536	6004242098	1083118390	HEB1083118390
010334521	010040269	6004086525	1083116460	HEB1083116460
010395180	080032842	6004498947	1083062786	HEB1083062786
010401776	009570217	6004521191	1082855014	HEB1082855014
010410163	007278446	600448931X	1082817163	HEB1082817163
010421955	030240743	6004212695	1083110292	HEB1083110292
01045358X	010243216	6004089230	1082797480	HEB1082797480
010453652	008804818	6004509515	1082788635	HEB1082788635
010456937	027221261	6004200190	1082839906	HEB1082839906
010456937	027221261	6004200204	1148420878	HEB1148420878
010468188	008338701	600450582X	1082657220	HEB1082657220
010469966	45972780X	6004555568	1082891681	HEB1082891681
010469982	005298164	6004455040	1082827401	HEB1082827401
010470018	009004270	600451148X	1082856789	HEB1082856789
010470182	459783629	6004576999	1082958786	HEB1082958786
010472053	010112421	6004087521	1082830917	HEB1082830917
010472118	006678157	6004485454	1082830755	HEB1082830755
010472169	459917900	6004370894	1083120298	HEB1083120298
010472673	459830287	6004327875	1083018647	HEB1083018647
010472703	459836293	6004330949	1083025635	HEB1083025635
010473521	010145192	6004088056	1082857262	HEB1082857262
010473521	010145192	6004088064	1082857270	HEB1082857270
010473521	010145192	6004088072	1082857289	HEB1082857289
010477632	026783037	6004198528	1082831158	HEB1082831158
010551166	459898469	6004361763	1083098713	HEB1083098713
010551174	214514471	6004175943	1083101161	HEB1083101161
010552049	079600689	6004497827	1083096923	HEB1083096923
010563830	033281882	6004225479	1083101234	HEB1083101234
010590773	011064110	6004102733	1082854247	HEB1082854247
010591745	011085428	600410311X	1082899313	HEB1082899313
010591826	011756896	6004112259	1083120328	HEB1083120328
01061799X	012609463	6004124192	108278866X	HEB108278866X
010669256	018855075	6004155586	108279208X	HEB108279208X
010698892	116517360	6004111627	1082849618	HEB1082849618
010725555	459674137	6004309311	1082830461	HEB1082830461
010753699	080115551	6004499064	1082826162	HEB1082826162
010753699	080115551	6004499072	1082826170	HEB1082826170
010753796	459628593	6004301949	1082731641	HEB1082731641
010830898	400737752	600424242X	1083101153	HEB1083101153
010855955	030237483	6004212679	1082723592	HEB1082723592
010860932	026559439	6004197548	1082855472	HEB1082855472
010862188	079606849	6004497835	1082784486	HEB1082784486
010863729	03052718X	6004214205	108281783X	HEB108281783X
010864806	031370691	6004217670	1082888095	HEB1082888095
010877452	079684742	6004498025	1083137123	HEB1083137123
010901450	018508510	6004152811	1082835668	HEB1082835668
010935584	134080602	6004132705	1082778184	HEB1082778184
010935738	027778207	6004202649	1082779687	HEB1082779687
010936254	079731171	6004498122	1082803286	HEB1082803286
010936289	02381926X	6004190942	1083127527	HEB1083127527
010955224	187383812	6004154865	1082797413	HEB1082797413
010955380	079546641	6004497738	1082661724	HEB1082661724
010959386	080235069	6004499528	1082727822	HEB1082727822
010959408	048728543	6004425168	1082724955	HEB1082724955
010959408	048728543	6004425176	1082724963	HEB1082724963
